movement,test_id,angulo_ombro_esquerdo_min,angulo_ombro_esquerdo_max,angulo_ombro_esquerdo_mean,angulo_ombro_direito_min,angulo_ombro_direito_max,angulo_ombro_direito_mean,angulo_quadril_esquerdo_min,angulo_quadril_esquerdo_max,angulo_quadril_esquerdo_mean,angulo_quadril_direito_min,angulo_quadril_direito_max,angulo_quadril_direito_mean,angulo_joelho_esquerdo_min,angulo_joelho_esquerdo_max,angulo_joelho_esquerdo_mean,angulo_joelho_direito_min,angulo_joelho_direito_max,angulo_joelho_direito_mean,angulo_coluna_min,angulo_coluna_max,angulo_coluna_mean,assimetria_ombros_vertical_min,assimetria_ombros_vertical_max,assimetria_ombros_vertical_mean,oscilacao_vertical_quadril_min,oscilacao_vertical_quadril_max,oscilacao_vertical_quadril_mean,oscilacao_horizontal_quadril_min,oscilacao_horizontal_quadril_max,oscilacao_horizontal_quadril_mean
caminhada,1,0.0512,16.5552,4.6328,0.0019,30.5853,4.8371,164.3474,179.9832,173.7509,162.2510,179.9294,173.2675,130.1418,179.9982,170.6982,135.1390,179.9983,169.8040,143.3807,178.1251,153.2393,0.0000,0.0103,0.0049,0.4190,0.5161,0.4630,0.5037,0.5457,0.5289
caminhada,2,0.0177,14.6308,5.9765,0.0018,16.8952,4.8027,161.0155,179.9609,172.8347,163.5775,179.9979,174.3406,125.0240,179.9896,167.8002,132.1747,179.9811,167.4233,143.1505,179.7603,155.7049,0.0000,0.0086,0.0032,0.4551,0.6116,0.5168,0.4808,0.5451,0.5167
