frame,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility
1,0.7262365221977234,0.38876432180404663,-0.022419311106204987,0.999929666519165,0.7303256988525391,0.37496310472488403,-0.02752927877008915,0.999891996383667,0.7333492636680603,0.3734905421733856,-0.027597801759839058,0.9999125003814697,0.7363402843475342,0.371783971786499,-0.027587825432419777,0.9999279975891113,0.7251874208450317,0.37721991539001465,-0.008146020583808422,0.999882698059082,0.724506139755249,0.3774406611919403,-0.00812399759888649,0.9998613595962524,0.7238564491271973,0.37750041484832764,-0.008132969960570335,0.9998739957809448,0.7487182021141052,0.3722492456436157,-0.027562476694583893,0.9999189376831055,0.7331643104553223,0.3787389397621155,0.058574315160512924,0.9997156262397766,0.7344917058944702,0.39713895320892334,-0.02139926329255104,0.9998985528945923,0.7280325889587402,0.39940714836120605,0.003694718237966299,0.9997739195823669,0.7761395573616028,0.41924530267715454,-0.1086539477109909,0.9999921321868896,0.7474368810653687,0.45438647270202637,0.14480815827846527,0.9995194673538208,0.779793918132782,0.4850708246231079,-0.18447725474834442,0.9981718063354492,0.7533785700798035,0.5293344855308533,0.18611688911914825,0.4879491925239563,0.7655549645423889,0.5685065984725952,-0.21974842250347137,0.9955660700798035,0.7374894618988037,0.5947288274765015,0.12400949001312256,0.6619774103164673,0.7649761438369751,0.5943244695663452,-0.2438475340604782,0.9905547499656677,0.7307901382446289,0.6128449440002441,0.11737925559282303,0.6120157241821289,0.7580839991569519,0.5924912095069885,-0.2399442493915558,0.9897133111953735,0.7280846834182739,0.6125784516334534,0.09194958955049515,0.6207407712936401,0.7574157118797302,0.5863273739814758,-0.21662786602973938,0.9842458367347717,0.7327501177787781,0.6059658527374268,0.11038057506084442,0.626041829586029,0.7917146682739258,0.5911803245544434,-0.08290008455514908,0.9995983242988586,0.7746196985244751,0.597857654094696,0.08288905024528503,0.9980337023735046,0.7647779583930969,0.7024391889572144,-0.1311100274324417,0.94648677110672,0.7665426731109619,0.7043399214744568,0.028723152354359627,0.4091455340385437,0.8048927187919617,0.8393815755844116,-0.14010150730609894,0.9327386021614075,0.8036248087882996,0.8218435645103455,0.014032439328730106,0.41337984800338745,0.8226286768913269,0.8620162606239319,-0.14297010004520416,0.8426834940910339,0.8248224258422852,0.8455756902694702,0.00964286271482706,0.4898342788219452,0.7618863582611084,0.8846676349639893,-0.20214241743087769,0.9252975583076477,0.7694956660270691,0.860419750213623,-0.03402038291096687,0.5578457117080688
2,0.7272266745567322,0.3884115219116211,0.00014934473438188434,0.9999352693557739,0.7311407327651978,0.37493452429771423,-0.011871756054461002,0.9999009370803833,0.733695924282074,0.3734869360923767,-0.011921253986656666,0.9999197125434875,0.736516535282135,0.3717840909957886,-0.011902078986167908,0.9999338388442993,0.7273248434066772,0.3770475387573242,0.01380883064121008,0.9998920559883118,0.7267391681671143,0.3772779107093811,0.0138284582644701,0.9998723864555359,0.7261459231376648,0.37738239765167236,0.013815447688102722,0.9998838901519775,0.7491991519927979,0.37216371297836304,-0.03159385547041893,0.9999257922172546,0.7350884079933167,0.3784724473953247,0.07606178522109985,0.999739408493042,0.7348426580429077,0.396638423204422,-0.007640558294951916,0.9999067783355713,0.7292556166648865,0.3987063765525818,0.02541710063815117,0.9997919797897339,0.7769853472709656,0.4195622205734253,-0.11756766587495804,0.9999927878379822,0.7489888072013855,0.4499577283859253,0.16643138229846954,0.9995517134666443,0.7800496816635132,0.4858047664165497,-0.19301603734493256,0.9982305765151978,0.751896321773529,0.5293153524398804,0.21346084773540497,0.48419177532196045,0.7737117409706116,0.5694745779037476,-0.24340739846229553,0.9957787394523621,0.7361567616462708,0.595759928226471,0.16225288808345795,0.669012725353241,0.7746798396110535,0.5945408940315247,-0.2718057334423065,0.9909924864768982,0.7291638851165771,0.6131593585014343,0.1608954668045044,0.6199186444282532,0.7656478881835938,0.5930478572845459,-0.2708606719970703,0.9901828765869141,0.7261146903038025,0.6130931973457336,0.13296359777450562,0.6288401484489441,0.7638422250747681,0.5870248079299927,-0.2415778934955597,0.9848582744598389,0.7310145497322083,0.6069742441177368,0.14811308681964874,0.6328875422477722,0.7896591424942017,0.5900242924690247,-0.0904071033000946,0.9996178150177002,0.7742921710014343,0.5947778224945068,0.09033986926078796,0.9981350898742676,0.7672823071479797,0.7049736976623535,-0.12621493637561798,0.9453468322753906,0.7744601964950562,0.7032570242881775,0.09032207727432251,0.39782872796058655,0.8051707148551941,0.8406774401664734,-0.12667804956436157,0.9314858317375183,0.8053140044212341,0.8230262398719788,0.09431184083223343,0.399679034948349,0.8245809078216553,0.8641403913497925,-0.12858399748802185,0.8478500247001648,0.8248254656791687,0.8463522791862488,0.09237215667963028,0.4833860993385315,0.7619796991348267,0.8871034979820251,-0.18699683248996735,0.9243383407592773,0.7707995772361755,0.8613067269325256,0.05423861742019653,0.5441737771034241
3,0.7279307246208191,0.38841912150382996,-0.0006457651616074145,0.999940037727356,0.7320358157157898,0.3750890791416168,-0.01274117548018694,0.9999087452888489,0.734074592590332,0.37376752495765686,-0.012795099057257175,0.999925971031189,0.7366918325424194,0.37218329310417175,-0.012783843092620373,0.99993896484375,0.7281778454780579,0.3772486448287964,0.013443654403090477,0.9999001622200012,0.7275335788726807,0.37750279903411865,0.013471266254782677,0.9998819231987,0.7269428372383118,0.37764817476272583,0.013456585817039013,0.99989253282547,0.7494832873344421,0.37237685918807983,-0.0371907576918602,0.9999318718910217,0.7355750799179077,0.3786230683326721,0.07719048857688904,0.9997602701187134,0.7354775667190552,0.39661213755607605,-0.008493402041494846,0.9999142289161682,0.730078399181366,0.398647665977478,0.025225160643458366,0.9998083710670471,0.7771201133728027,0.42025133967399597,-0.12192468345165253,0.9999933838844299,0.7494273781776428,0.44715869426727295,0.16894817352294922,0.9995810985565186,0.7811719179153442,0.48634427785873413,-0.19547367095947266,0.9982917308807373,0.7509437799453735,0.5291823744773865,0.2183270901441574,0.47905758023262024,0.7816289663314819,0.569814920425415,-0.24992084503173828,0.9960147738456726,0.7342252135276794,0.5960333347320557,0.16726741194725037,0.6778334379196167,0.7841554880142212,0.594610333442688,-0.2793775200843811,0.9914674758911133,0.7259829640388489,0.6132032871246338,0.16679276525974274,0.629530131816864,0.7740925550460815,0.5934104323387146,-0.2783518135547638,0.9906899929046631,0.7237859964370728,0.6130919456481934,0.13808417320251465,0.638613760471344,0.7712968587875366,0.5873565077781677,-0.24828356504440308,0.9855316281318665,0.7285411357879639,0.6071283221244812,0.15277889370918274,0.6416288018226624,0.7881571054458618,0.5893740057945251,-0.09049126505851746,0.9996313452720642,0.7738496661186218,0.5930746793746948,0.09043001383543015,0.9982039928436279,0.7725013494491577,0.7083248496055603,-0.12035180628299713,0.9415243864059448,0.7773544192314148,0.703047513961792,0.08950868248939514,0.38671424984931946,0.8052434921264648,0.8428994417190552,-0.12099356204271317,0.9266331195831299,0.8045538067817688,0.8242310881614685,0.09508561342954636,0.38226059079170227,0.8245130777359009,0.8664544820785522,-0.12346280366182327,0.849182665348053,0.8157548308372498,0.8463469743728638,0.09349476546049118,0.472491055727005,0.7632940411567688,0.8869564533233643,-0.18644699454307556,0.919340968132019,0.7701241970062256,0.8598304390907288,0.05323358625173569,0.5254108309745789
4,0.7288263440132141,0.3889305889606476,0.0015694445464760065,0.9999443888664246,0.7329708933830261,0.3761015236377716,-0.01103382557630539,0.9999160170555115,0.7347387075424194,0.374620646238327,-0.011095031164586544,0.999931812286377,0.7371839880943298,0.3729718029499054,-0.011091294698417187,0.999943733215332,0.7286390066146851,0.3787750005722046,0.015625620260834694,0.9999076128005981,0.7278836965560913,0.37908297777175903,0.01566026546061039,0.9998905658721924,0.7272431254386902,0.3792564570903778,0.0156408604234457,0.999900221824646,0.7499807476997375,0.3727363049983978,-0.036975275725126266,0.9999375343322754,0.7355228662490845,0.3796750009059906,0.0803787112236023,0.9997794032096863,0.736583411693573,0.396697461605072,-0.006487490143626928,0.9999212622642517,0.7308546304702759,0.39872056245803833,0.027999401092529297,0.9998235702514648,0.7773258686065674,0.42064106464385986,-0.12175825238227844,0.9999939799308777,0.750586986541748,0.4466979205608368,0.17323198914527893,0.9996050000190735,0.7833879590034485,0.4869794547557831,-0.19915902614593506,0.9983442425727844,0.7506383657455444,0.5294716358184814,0.22561144828796387,0.47022774815559387,0.7866228222846985,0.5702332258224487,-0.262439101934433,0.9962525367736816,0.7332518696784973,0.596222460269928,0.1802481710910797,0.6833913922309875,0.7902156710624695,0.5946465134620667,-0.29296576976776123,0.9919573664665222,0.7242156267166138,0.6134769320487976,0.18229863047599792,0.636066198348999,0.7798471450805664,0.5935673117637634,-0.290858656167984,0.9912148118019104,0.7225519418716431,0.613473117351532,0.1529379040002823,0.6451346278190613,0.7765461802482605,0.587745189666748,-0.2605641484260559,0.986245334148407,0.7275075912475586,0.6077974438667297,0.16570910811424255,0.6473077535629272,0.7876799702644348,0.5884988307952881,-0.09035918861627579,0.9996482729911804,0.7739675045013428,0.5924484729766846,0.0903184711933136,0.9982679486274719,0.779276967048645,0.7118059396743774,-0.11763834208250046,0.9383724927902222,0.7822065353393555,0.7028986215591431,0.10686269402503967,0.37499213218688965,0.8067483305931091,0.8452620506286621,-0.12505653500556946,0.919730544090271,0.8032953143119812,0.8243351578712463,0.1320444643497467,0.3623647093772888,0.8244718909263611,0.8680977821350098,-0.12736956775188446,0.8502914905548096,0.8099440336227417,0.8451374173164368,0.13301968574523926,0.4578293263912201,0.7641897201538086,0.8858577013015747,-0.19286178052425385,0.9108942151069641,0.7676582336425781,0.8527336716651917,0.09590264409780502,0.5029508471488953
5,0.729842483997345,0.3893320560455322,-0.004369829781353474,0.9999467730522156,0.7342429161071777,0.3771127164363861,-0.018381521105766296,0.9999203681945801,0.7361149787902832,0.37557050585746765,-0.018462222069501877,0.9999354481697083,0.7388039827346802,0.3738349378108978,-0.01847979798913002,0.9999465346336365,0.729174017906189,0.3800322115421295,0.009904049336910248,0.9999111890792847,0.7282415628433228,0.38041895627975464,0.009958913549780846,0.9998947381973267,0.7274638414382935,0.380642294883728,0.009933271445333958,0.9999032020568848,0.7511560320854187,0.3736094534397125,-0.03993493691086769,0.9999414086341858,0.7354272603988647,0.381257027387619,0.07837650179862976,0.9997898936271667,0.7379442453384399,0.39678773283958435,-0.011564632877707481,0.9999254941940308,0.7313571572303772,0.3988255560398102,0.026380915194749832,0.999832034111023,0.7773407101631165,0.4207133948802948,-0.12121038138866425,0.9999944567680359,0.7507590651512146,0.44678521156311035,0.16831357777118683,0.9996176958084106,0.783684253692627,0.4875109791755676,-0.19726908206939697,0.9983904957771301,0.7505471706390381,0.5310475826263428,0.2209111601114273,0.4602951109409332,0.7887188792228699,0.5714931488037109,-0.25233930349349976,0.9964825510978699,0.7333691120147705,0.5964032411575317,0.17696639895439148,0.6891250610351562,0.7937292456626892,0.5952763557434082,-0.28069639205932617,0.9924027323722839,0.7246652841567993,0.6150651574134827,0.17950503528118134,0.6431128978729248,0.7841292023658752,0.5947251915931702,-0.27884402871131897,0.9916957020759583,0.7228971719741821,0.614881157875061,0.15177114307880402,0.6521139144897461,0.7801336646080017,0.5890816450119019,-0.25036031007766724,0.9869293570518494,0.7277407050132751,0.6089141964912415,0.16328154504299164,0.6532549262046814,0.7859592437744141,0.5877747535705566,-0.08983997255563736,0.9996445775032043,0.7737038135528564,0.5922407507896423,0.08977262675762177,0.9982709288597107,0.7856659293174744,0.7130917906761169,-0.10678746551275253,0.9286783933639526,0.7842599153518677,0.7039787173271179,0.08680487424135208,0.36282020807266235,0.8092153072357178,0.847595751285553,-0.1087953969836235,0.9073278307914734,0.802981972694397,0.8313213586807251,0.09666775912046432,0.34619659185409546,0.8246469497680664,0.8701044321060181,-0.11132330447435379,0.8463085889816284,0.8119866847991943,0.8513885736465454,0.09588797390460968,0.4449481666088104,0.7707093954086304,0.8840535283088684,-0.17756317555904388,0.8985094428062439,0.771088719367981,0.8556773662567139,0.05324556678533554,0.48297715187072754
6,0.7306016683578491,0.3898155391216278,-0.002036670222878456,0.9999501705169678,0.7350759506225586,0.3781660199165344,-0.013375344686210155,0.9999256730079651,0.7371091842651367,0.376761794090271,-0.013470364734530449,0.9999398589134216,0.7398068904876709,0.3751230239868164,-0.01349778100848198,0.9999499917030334,0.7295365929603577,0.38096535205841064,0.012897375039756298,0.9999166131019592,0.7285223007202148,0.3813377618789673,0.012963775545358658,0.9999008774757385,0.7275905013084412,0.3816263973712921,0.012944667600095272,0.9999083876609802,0.7517480850219727,0.3743742108345032,-0.029473688453435898,0.999945878982544,0.7351945042610168,0.38245096802711487,0.08503974974155426,0.9998038411140442,0.7387651205062866,0.39688199758529663,-0.005928420461714268,0.9999305009841919,0.731772780418396,0.3989221751689911,0.028073597699403763,0.9998427629470825,0.7773783802986145,0.42082130908966064,-0.11334292590618134,0.9999949336051941,0.7516264915466309,0.44658663868904114,0.1819138079881668,0.9996354579925537,0.7845102548599243,0.488864004611969,-0.1870373636484146,0.9984381198883057,0.751185417175293,0.5312856435775757,0.23447299003601074,0.44499677419662476,0.7899753451347351,0.5721283555030823,-0.24776296317577362,0.9966636300086975,0.7336713075637817,0.5976979732513428,0.1955404430627823,0.6850700378417969,0.7962407469749451,0.5960357189178467,-0.2773638963699341,0.9927313923835754,0.7248104810714722,0.6179094910621643,0.1993880420923233,0.6399584412574768,0.7863938212394714,0.596079409122467,-0.27634769678115845,0.9920538663864136,0.7232561111450195,0.6177130341529846,0.17331650853157043,0.6490222811698914,0.7821255922317505,0.5905717611312866,-0.24826717376708984,0.9874261617660522,0.7280557751655579,0.6115320920944214,0.18247978389263153,0.6497799158096313,0.7838809490203857,0.5878136157989502,-0.08962983638048172,0.9996349811553955,0.7714216113090515,0.5927252769470215,0.08957044780254364,0.9982921481132507,0.7901700735092163,0.7143425345420837,-0.10671369731426239,0.9160570502281189,0.7833093404769897,0.7095258235931396,0.0767422616481781,0.3516067564487457,0.8104174733161926,0.8505312204360962,-0.11126850545406342,0.8902531266212463,0.8010068535804749,0.8396924734115601,0.0809229165315628,0.33360639214515686,0.8246141672134399,0.8726962804794312,-0.11418454349040985,0.8380105495452881,0.8117609024047852,0.860856831073761,0.07928714156150818,0.4388154447078705,0.7753798365592957,0.8843713998794556,-0.18105530738830566,0.8845333456993103,0.7661230564117432,0.8670201301574707,0.052279043942689896,0.4677565097808838
7,0.7310879230499268,0.3901021182537079,0.017863012850284576,0.9999547004699707,0.7355527877807617,0.37868788838386536,0.010806195437908173,0.9999324679374695,0.7379564046859741,0.3773643374443054,0.01070445030927658,0.9999454021453857,0.7407833933830261,0.3759145438671112,0.010666454210877419,0.9999545812606812,0.7297125458717346,0.38142305612564087,0.03486556187272072,0.9999241232872009,0.7285791635513306,0.3818458318710327,0.03495808690786362,0.9999096393585205,0.7275307178497314,0.3822283148765564,0.034949373453855515,0.9999163150787354,0.7522583603858948,0.3749995827674866,0.006402770988643169,0.9999510049819946,0.734348475933075,0.3834095299243927,0.112361378967762,0.9998213648796082,0.7394697070121765,0.3971007168292999,0.018288591876626015,0.9999366998672485,0.7321342825889587,0.3992003798484802,0.04914005845785141,0.9998564124107361,0.7774701714515686,0.42069682478904724,-0.08416350185871124,0.9999954104423523,0.7521275877952576,0.44566285610198975,0.2079281210899353,0.9996599555015564,0.786232054233551,0.48895886540412903,-0.16194204986095428,0.9985232949256897,0.751652181148529,0.5312535166740417,0.2607508599758148,0.4225209951400757,0.791734516620636,0.5719789266586304,-0.22626183927059174,0.9968879818916321,0.7359428405761719,0.5988316535949707,0.2260669469833374,0.6678650975227356,0.7973344326019287,0.5960625410079956,-0.25505325198173523,0.9931813478469849,0.7287992835044861,0.6204543709754944,0.23053526878356934,0.6252054572105408,0.7886260747909546,0.5961520075798035,-0.25442975759506226,0.9925491809844971,0.7284840941429138,0.6201422214508057,0.2052946537733078,0.6342723369598389,0.784881591796875,0.5905359983444214,-0.22547763586044312,0.9881411194801331,0.7326062917709351,0.6132158041000366,0.2133970707654953,0.6350623369216919,0.7825848460197449,0.5875125527381897,-0.08955279737710953,0.9996485710144043,0.7700364589691162,0.5929275155067444,0.08949700742959976,0.9983677268028259,0.7921246290206909,0.7142512202262878,-0.10748545825481415,0.9028295278549194,0.7835127115249634,0.7145698070526123,0.07051293551921844,0.34170544147491455,0.8116247057914734,0.8519994616508484,-0.1395472139120102,0.8731220364570618,0.8002538084983826,0.8449350595474243,0.044096674770116806,0.32080069184303284,0.8245878219604492,0.8752827644348145,-0.14458273351192474,0.8305180072784424,0.8114970326423645,0.866561233997345,0.03973863273859024,0.4334542155265808,0.7752001285552979,0.8859838843345642,-0.21516650915145874,0.8727720975875854,0.7626043558120728,0.8733815550804138,-0.0050011747516691685,0.45396775007247925
8,0.7314760088920593,0.39055851101875305,0.016168508678674698,0.9999586343765259,0.7357864379882812,0.379649817943573,0.00971087533980608,0.999938428401947,0.7384615540504456,0.378134548664093,0.00961359404027462,0.9999502301216125,0.7413660883903503,0.37660640478134155,0.009576567448675632,0.9999585747718811,0.7298915982246399,0.3826929032802582,0.032668568193912506,0.9999306797981262,0.7286670207977295,0.3832356035709381,0.03275689110159874,0.999917209148407,0.7275095582008362,0.3837212324142456,0.03274913132190704,0.999923050403595,0.752567708492279,0.3757706880569458,0.007283474318683147,0.9999554753303528,0.7341976761817932,0.3848839998245239,0.10882575064897537,0.999836266040802,0.7402199506759644,0.39756864309310913,0.01739906333386898,0.9999420642852783,0.7328365445137024,0.4002174139022827,0.04686575382947922,0.9998680949211121,0.7785352468490601,0.4206930100917816,-0.0755883976817131,0.9999958276748657,0.7520644664764404,0.4458211064338684,0.19738948345184326,0.9996799826622009,0.7884446382522583,0.4893149137496948,-0.14937154948711395,0.9985625743865967,0.7517386078834534,0.5314279794692993,0.244501531124115,0.40302178263664246,0.7923685908317566,0.571921706199646,-0.2098572999238968,0.9970231056213379,0.7393484115600586,0.6012212038040161,0.20435580611228943,0.6471322178840637,0.7975394129753113,0.596463143825531,-0.23718617856502533,0.9934642314910889,0.7345226407051086,0.6241468191146851,0.20544567704200745,0.6074655652046204,0.7889437675476074,0.5965531468391418,-0.23730473220348358,0.9928681254386902,0.7348917722702026,0.6232523918151855,0.18111750483512878,0.6163983941078186,0.7854512929916382,0.5908197164535522,-0.20883408188819885,0.9885976314544678,0.7375372052192688,0.6157660484313965,0.19192296266555786,0.6174190044403076,0.782517671585083,0.5875381231307983,-0.08653409779071808,0.9996589422225952,0.7684181928634644,0.5941387414932251,0.08649013936519623,0.9984197616577148,0.7928982377052307,0.7137297987937927,-0.11030885577201843,0.8906822204589844,0.7826822996139526,0.7165237069129944,0.06862342357635498,0.33446186780929565,0.8125902414321899,0.8529974818229675,-0.13878768682479858,0.8579013347625732,0.7995420098304749,0.8463178277015686,0.04092005640268326,0.3104255497455597,0.8245813250541687,0.8765097856521606,-0.14355719089508057,0.8219624161720276,0.8111337423324585,0.8673945069313049,0.03687011078000069,0.42783939838409424,0.7760087847709656,0.8884960412979126,-0.21303391456604004,0.8611778616905212,0.7553504705429077,0.872346043586731,-0.008659283630549908,0.44240614771842957
9,0.7316074371337891,0.3909282684326172,0.020365890115499496,0.9999621510505676,0.735773503780365,0.38040992617607117,0.014585863798856735,0.9999437928199768,0.7385366559028625,0.378829687833786,0.014482665807008743,0.9999545812606812,0.7414615750312805,0.3772261142730713,0.014438644051551819,0.9999622106552124,0.7299289107322693,0.38344529271125793,0.037314217537641525,0.9999365210533142,0.728641927242279,0.38404330611228943,0.03739992901682854,0.9999238848686218,0.7274759411811829,0.3845447599887848,0.037394557148218155,0.9999290704727173,0.7525681853294373,0.3765391409397125,0.014583093114197254,0.9999595284461975,0.7340937256813049,0.3856475353240967,0.11558640003204346,0.9998494982719421,0.7405166029930115,0.39789140224456787,0.022642187774181366,0.9999467730522156,0.7332784533500671,0.40089237689971924,0.05181316286325455,0.999878466129303,0.778908908367157,0.4206952452659607,-0.06735452264547348,0.9999961853027344,0.7520341873168945,0.44531986117362976,0.20334522426128387,0.9996970295906067,0.789593517780304,0.4899684190750122,-0.1401565819978714,0.9985959529876709,0.751745343208313,0.5313945412635803,0.2477477490901947,0.38404741883277893,0.7924063205718994,0.5722896456718445,-0.1959274709224701,0.9971197843551636,0.7416127324104309,0.6021345257759094,0.20521309971809387,0.6212183237075806,0.7973243594169617,0.5970062017440796,-0.22282424569129944,0.9936689138412476,0.7378350496292114,0.6247555017471313,0.2051466703414917,0.5848883986473083,0.7883449196815491,0.5970793962478638,-0.2230139821767807,0.9931026101112366,0.7383467555046082,0.623918354511261,0.18153417110443115,0.5935792326927185,0.7850126028060913,0.591357409954071,-0.19472256302833557,0.9889189004898071,0.740707516670227,0.6161795854568481,0.1930348128080368,0.5950669646263123,0.7824371457099915,0.5882008075714111,-0.08561278134584427,0.9996728301048279,0.7672739624977112,0.5958893299102783,0.08558132499456406,0.9984747171401978,0.7926713228225708,0.7133733630180359,-0.11113850027322769,0.8797937631607056,0.7819391489028931,0.7169973850250244,0.05973077565431595,0.32636702060699463,0.8144335150718689,0.853946328163147,-0.14441075921058655,0.8433010578155518,0.7991705536842346,0.846941351890564,0.03504323214292526,0.2994718551635742,0.825224757194519,0.8773621916770935,-0.1492980718612671,0.8115084171295166,0.8106555938720703,0.8680306077003479,0.03120308928191662,0.41956499218940735,0.779451310634613,0.8976314663887024,-0.21997150778770447,0.8504912853240967,0.7575840950012207,0.8762520551681519,-0.016858011484146118,0.4311436116695404
10,0.7313048839569092,0.39092063903808594,0.02080429717898369,0.9999648332595825,0.7353956699371338,0.3803653419017792,0.01256019901484251,0.9999479651451111,0.7379476428031921,0.37882381677627563,0.012468133121728897,0.9999579787254333,0.7408012747764587,0.37725064158439636,0.012426920235157013,0.9999650120735168,0.7297707796096802,0.3833087384700775,0.036495186388492584,0.9999408721923828,0.7285006046295166,0.3838789463043213,0.03657960519194603,0.9999286532402039,0.7273905277252197,0.3843463361263275,0.03656891733407974,0.9999330639839172,0.7520673871040344,0.37666332721710205,0.004401062149554491,0.9999628663063049,0.7340866327285767,0.3854426443576813,0.109579898416996,0.9998593926429749,0.7402451038360596,0.39793604612350464,0.019931714981794357,0.9999501705169678,0.7331953644752502,0.4009058177471161,0.05061335489153862,0.9998854994773865,0.7794827818870544,0.4207342863082886,-0.07592412829399109,0.9999964833259583,0.7520121335983276,0.44416874647140503,0.19477975368499756,0.9997053146362305,0.7906665802001953,0.49117419123649597,-0.1405712515115738,0.9986019730567932,0.7527645826339722,0.5284812450408936,0.24111151695251465,0.36095696687698364,0.7922416925430298,0.572701096534729,-0.18000119924545288,0.9971615672111511,0.7444023489952087,0.6011725664138794,0.19536298513412476,0.5871322751045227,0.7967020273208618,0.5975638628005981,-0.2053758203983307,0.9937335848808289,0.740748405456543,0.6243161559104919,0.19509996473789215,0.5551586747169495,0.7874259352684021,0.5974835753440857,-0.2047315388917923,0.9931891560554504,0.7409740090370178,0.6230775713920593,0.17046070098876953,0.5633688569068909,0.7844011187553406,0.5917233228683472,-0.1781102418899536,0.9890266060829163,0.7436439394950867,0.615424633026123,0.18261681497097015,0.5653430819511414,0.7824068665504456,0.5882202386856079,-0.08368007838726044,0.9996737241744995,0.7661709785461426,0.5959410667419434,0.08367757499217987,0.9984956979751587,0.7924192547798157,0.7125131487846375,-0.11156304180622101,0.8691325783729553,0.7814642190933228,0.716611385345459,0.05916326120495796,0.31919345259666443,0.8161348104476929,0.8540939688682556,-0.14191661775112152,0.8287243843078613,0.7993890643119812,0.8473009467124939,0.03955771401524544,0.29008400440216064,0.8267802596092224,0.8769391775131226,-0.1470915526151657,0.804043173789978,0.8111467361450195,0.8681432604789734,0.03610929101705551,0.4128918945789337,0.7871327996253967,0.8975377678871155,-0.2171475738286972,0.839323878288269,0.759818434715271,0.8770127296447754,-0.010658562183380127,0.4198383092880249
